sentence_id,CUI,level_1,level_2,level_3
2,C0000765,0,0,1
2,C0000765,0,0,1
2,C0002170,0,1,0
2,C0043094,1,0,0
2,C0043094,1,0,0
2,C1262477,0,1,0
3,C0011860,0,0,1
3,C0036104,1,0,0
4,C0178417,0,0,1
4,C0011860,0,0,1
4,C0036104,1,0,0
5,C0549622,1,0,0
5,C0036104,1,0,0
6,C0560765,0,0,1
6,C0424528,0,0,1
7,C0027497,1,0,0
7,C0344232,0,0,1
7,C0344232,1,0,0
7,C0424565,0,1,0
7,C0558066,0,0,1
7,C0438696,1,0,0
7,C0563158,0,0,1
7,C0554978,0,0,1
7,C0455204,0,0,1
7,C0563168,0,0,1
7,C0522178,0,0,1
8,C0344232,0,0,1
8,C0344232,1,0,0
8,C0424565,0,1,0
8,C0560765,0,0,1
8,C0344375,0,0,1
8,C0221512,0,0,1
8,C0234019,0,0,1
8,C0235309,0,0,1
8,C0577027,0,0,1
10,C0558066,0,0,1
10,C0560765,0,0,1
10,C1827663,0,0,1
10,C0563158,0,0,1
10,C0554978,0,0,1
10,C0424528,0,0,1
10,C0455204,0,0,1
10,C0563168,0,0,1
10,C0522178,0,0,1
12,C0027497,1,0,0
12,C0086769,1,0,0
12,C0086769,0,0,1
12,C0003467,1,0,0
12,C0560765,0,0,1
12,C0392171,0,0,1
12,C0392171,0,0,1
12,C0392171,0,0,1
12,C0030318,1,0,0
12,C0700031,0,1,0
12,C0424528,0,0,1
12,C0424528,0,0,1
12,C0037320,0,0,1
13,C0027497,1,0,0
13,C0424565,0,1,0
13,C0003467,1,0,0
13,C0235195,0,0,1
13,C0235195,0,0,1
13,C0456820,0,0,1
13,C1283330,0,0,1
13,C0178417,0,0,1
13,C0583786,0,0,1
13,C0425101,0,0,1
13,C0424112,0,0,1
13,C0424142,0,0,1
13,C0424142,0,0,1
14,C0003467,1,0,0
15,C0012833,1,0,0
15,C0522365,0,0,1
15,C0042571,0,0,1
15,C0751908,0,0,1
15,C0012833,1,0,0
15,C0012833,1,0,0
15,C0220870,0,0,1
15,C0395922,0,0,1
15,C0011860,0,0,1
16,C0027497,1,0,0
16,C0012833,1,0,0
16,C0522365,0,0,1
16,C0560765,0,0,1
16,C0042571,0,0,1
16,C0751908,0,0,1
16,C0012833,1,0,0
16,C0012833,1,0,0
16,C0234019,0,0,1
16,C0220870,0,0,1
16,C0424528,0,0,1
16,C0038663,0,0,1
16,C0583786,0,0,1
16,C0036973,0,0,1
16,C3472701,0,0,1
16,C0395922,0,0,1
16,C0011860,0,0,1
17,C0000765,0,0,1
17,C0000765,0,0,1
17,C0010201,1,0,0
17,C0043094,1,0,0
17,C0043094,1,0,0
17,C0001973,1,0,0
17,C0010200,1,0,0
18,C0012833,0,0,1
18,C0583237,0,0,1
18,C0039231,1,0,0
18,C0522365,0,0,1
18,C0042571,1,0,0
18,C0751908,0,0,1
18,C0012833,0,0,1
18,C0012833,0,0,1
18,C0220870,0,0,1
18,C0395922,0,0,1
19,C0424565,0,1,0
19,C0560765,0,0,1
19,C0424528,0,0,1
19,C0156404,0,0,1
19,C0232937,0,0,1
20,C0000765,0,0,1
20,C0005911,0,0,1
20,C0578026,0,0,1
20,C0015967,0,0,1
20,C0268000,0,0,1
22,C0027497,1,0,0
22,C0424565,0,0,1
22,C0012833,1,0,0
22,C0039231,1,0,0
22,C0522365,0,0,1
22,C0560765,0,0,1
22,C0042571,1,0,0
22,C0751908,0,0,1
22,C0012833,1,0,0
22,C0012833,1,0,0
22,C1283330,0,0,1
22,C0220870,0,0,1
22,C0424528,0,0,1
22,C0231218,0,0,1
22,C0583786,0,0,1
22,C0425101,0,0,1
22,C0578994,0,0,1
22,C0578994,0,0,1
22,C0149745,0,0,1
22,C0423564,0,0,1
22,C1562291,0,0,1
22,C0395922,0,0,1
22,C0424142,0,0,1
22,C0424142,0,0,1
23,C0012833,0,0,1
23,C0522365,0,0,1
23,C0042571,1,0,0
23,C0751908,0,0,1
23,C0012833,0,0,1
23,C0012833,0,0,1
23,C0220870,0,0,1
23,C0395922,0,0,1
23,C0036104,1,0,0
24,C0012833,0,0,1
24,C0522365,0,0,1
24,C0560765,0,0,1
24,C0042571,1,0,0
24,C0751908,0,0,1
24,C0012833,0,0,1
24,C0012833,0,0,1
24,C0220870,0,0,1
24,C0424528,0,0,1
24,C0395922,0,0,1
25,C0012833,0,0,1
25,C0522365,0,0,1
25,C0042571,1,0,0
25,C0751908,0,0,1
25,C0012833,0,0,1
25,C0012833,0,0,1
25,C0220870,0,0,1
25,C0395922,0,0,1
26,C0917801,1,0,0
26,C0037763,1,0,0
26,C0231530,1,0,0
26,C0009676,1,0,0
26,C0600142,0,0,1
26,C0344375,0,0,1
26,C0033774,1,0,0
26,C0850674,0,0,1
26,C0026821,0,0,1
26,C0026821,0,0,1
27,C0231403,0,0,1
27,C0522365,0,0,1
27,C0231403,0,0,1
27,C0278140,0,0,1
27,C1443924,0,0,1
27,C0234019,0,0,1
27,C0231403,0,0,1
29,C0917801,1,0,0
29,C0560765,0,0,1
29,C0456820,0,0,1
29,C0178417,0,0,1
29,C0011124,1,0,0
29,C1821572,0,0,1
29,C1262477,0,0,1
29,C0424528,0,0,1
29,C0578994,0,0,1
29,C0578994,0,0,1
29,C0149745,0,0,1
29,C0423564,0,0,1
29,C1562291,0,0,1
30,C0560765,0,0,1
30,C0456820,0,0,1
30,C0178417,0,0,1
30,C0424528,0,0,1
30,C0036973,0,0,1
30,C3472701,0,0,1
30,C1562291,0,0,1
31,C0000765,0,0,1
31,C0000765,0,0,1
31,C0043094,1,0,0
31,C0043094,1,0,0
32,C0000765,0,0,1
32,C0000765,0,0,1
32,C0700590,0,0,1
32,C0242350,1,0,0
32,C0424117,0,0,1
32,C0085602,0,0,1
32,C0586746,0,0,1
32,C1298942,0,0,1
32,C0438697,1,0,0
32,C0020505,0,0,1
32,C0426584,0,0,1
32,C0425769,0,0,1
32,C0085602,0,0,1
32,C0036104,1,0,0
33,C0424565,0,0,1
33,C1283330,0,0,1
33,C0425101,0,0,1
33,C0424142,0,0,1
33,C0424142,0,0,1
34,C0560765,0,0,1
34,C0149931,1,0,0
34,C0149931,0,0,1
34,C0344315,0,0,1
34,C0085633,0,0,1
34,C0564408,0,0,1
34,C0022107,0,0,1
34,C0235146,0,0,1
34,C0234019,0,0,1
34,C0233479,0,0,1
34,C0424528,0,0,1
34,C0877781,0,0,1
34,C0011057,1,0,0
34,C0241934,0,0,1
34,C0338481,0,0,1
35,C0497247,0,0,1
35,C0497247,1,0,0
35,C0428895,0,0,1
35,C0005826,0,0,1
35,C0234019,0,0,1
35,C0583786,0,0,1
35,C0277884,0,0,1
36,C0560765,0,0,1
36,C0497247,0,0,1
36,C0497247,0,0,1
36,C0392171,0,0,1
36,C0392171,0,0,1
36,C0392171,0,0,1
36,C0425736,0,0,1
36,C0428895,0,0,1
36,C0005826,0,0,1
36,C0234019,0,0,1
36,C0424528,0,0,1
36,C0424528,0,0,1
36,C0277884,0,0,1
37,C0424444,0,0,1
41,C0560765,0,0,1
41,C0392171,0,0,1
41,C0392171,0,0,1
41,C0392171,0,0,1
41,C0425736,0,0,1
41,C0424528,0,0,1
41,C0424528,0,0,1
42,C0701810,0,0,1
42,C0701810,0,0,1
42,C0424336,0,0,1
42,C0234019,0,0,1
42,C0413862,0,0,1
42,C0041755,0,0,1
42,C0036973,0,0,1
42,C3472701,0,0,1
42,C0156404,0,0,1
42,C0232937,0,0,1
43,C0178417,0,0,1
43,C0424431,0,0,1
43,C0424432,0,0,1
44,C0344232,0,0,1
44,C0344232,1,0,0
44,C0003467,1,0,0
44,C0033893,0,0,1
44,C0033893,0,0,1
44,C0497247,0,0,1
44,C0424444,1,0,0
44,C0018681,1,0,0
44,C4075722,0,0,1
44,C0028081,0,0,1
44,C0393761,0,0,1
44,C0234238,1,0,0
44,C0178417,0,0,1
44,C0037320,0,0,1
44,C0877781,0,0,1
44,C1562291,0,0,1
44,C0037195,0,0,1
45,C0583786,0,0,1
46,C0917801,1,0,0
46,C0033893,0,0,1
46,C0033893,0,0,1
46,C0006325,0,1,0
46,C0018681,1,0,0
46,C0860645,0,0,1
46,C0234238,1,0,0
46,C0558127,0,0,1
46,C0413862,0,0,1
46,C0877781,0,0,1
46,C0041755,0,0,1
46,C0037195,0,0,1
47,C0424565,0,0,1
47,C0560765,0,0,1
47,C0392171,0,0,1
47,C0392171,0,0,1
47,C0392171,0,0,1
47,C0425736,0,0,1
47,C0424528,0,0,1
47,C0424528,0,0,1
47,C0036973,0,0,1
47,C3472701,0,0,1
48,C0424565,0,0,1
48,C0003467,1,0,0
48,C0497247,0,0,1
48,C0042023,0,0,1
48,C1283330,0,0,1
48,C0455769,0,1,0
48,C0425101,0,0,1
48,C0239978,0,0,1
48,C0424142,0,0,1
48,C0424142,0,0,1
49,C0581881,0,1,0
49,C0392171,0,0,1
49,C0392171,0,0,1
49,C0392171,0,0,1
49,C0424528,0,0,1
49,C0578673,0,0,1
50,C0005911,0,0,1
50,C0005911,0,0,1
50,C0547030,0,0,1
50,C0425712,0,0,1
50,C0240735,0,0,1
51,C0003467,1,0,0
51,C0497247,0,0,1
51,C0413862,0,0,1
51,C0041755,0,0,1
52,C0917801,1,0,0
52,C0012833,1,0,0
52,C0522365,0,0,1
52,C0042571,0,0,1
52,C0751908,0,0,1
52,C0424444,0,0,1
52,C0015672,1,0,0
52,C0085632,1,0,0
52,C0012833,1,0,0
52,C0012833,1,0,0
52,C0220870,0,0,1
52,C0242979,0,1,0
52,C0242979,0,1,0
52,C0395922,0,0,1
53,C0424142,0,0,1
53,C0424142,0,0,1
53,C0011860,0,0,1
54,C0560765,0,0,1
54,C0557875,1,0,0
54,C0234019,0,0,1
55,C0917801,1,0,0
55,C0033893,0,0,1
55,C0033893,0,0,1
55,C0233494,1,0,0
55,C1298942,0,0,1
55,C2219848,0,0,1
55,C0427195,0,0,1
55,C0427195,0,0,1
56,C0018616,1,0,0
57,C4075722,0,0,1
57,C0344315,0,0,1
57,C0028081,1,0,0
57,C0085633,1,0,0
57,C0564408,0,0,1
57,C0022107,0,0,1
57,C0235146,0,0,1
57,C0233479,0,0,1
57,C0037320,0,0,1
57,C0557878,0,0,1
57,C0241934,0,0,1
58,C0000765,0,0,1
58,C0424000,1,0,0
58,C0234238,1,0,0
58,C0438696,1,0,0
58,C0005911,0,0,1
58,C0578026,0,0,1
58,C0015967,0,0,1
58,C0268000,0,0,1
59,C0000765,0,0,1
59,C0000765,0,0,1
59,C0027497,1,0,0
59,C0424565,0,1,0
59,C0043094,1,0,0
59,C0043094,1,0,0
59,C0033893,0,0,1
59,C0033893,0,0,1
59,C0018681,1,0,0
59,C0860645,0,0,1
59,C0015672,1,0,0
59,C0234238,1,0,0
59,C0558127,0,0,1
59,C0877781,0,0,1
59,C0242979,0,0,1
59,C0242979,0,0,1
59,C0037195,0,0,1
60,C0456820,0,0,1
60,C0392171,0,0,1
60,C0392171,0,0,1
60,C0392171,0,0,1
60,C0424528,0,0,1
60,C0424112,0,0,1
60,C0036104,1,0,0
61,C0002957,1,0,0
61,C0563168,0,0,1
61,C1562291,0,0,1
63,C0560765,0,0,1
63,C0234019,0,0,1
63,C0424528,0,0,1
63,C0583786,0,0,1
64,C0000765,0,0,1
64,C0030193,1,0,0
64,C0005911,0,0,1
64,C0234019,0,0,1
64,C0578026,0,0,1
64,C0015967,0,0,1
64,C0268000,0,0,1
65,C0392171,0,0,1
65,C0392171,0,0,1
65,C0392171,0,0,1
65,C0424528,0,0,1
66,C0424366,0,0,1
66,C0578994,0,0,1
66,C0522178,0,0,1
67,C0560765,0,0,1
67,C0392171,0,0,1
67,C0423572,0,0,1
67,C0392171,0,0,1
67,C0392171,0,0,1
67,C0234019,0,0,1
67,C0424528,0,0,1
67,C0424528,0,0,1
67,C0085593,1,0,0
67,C0085593,1,0,0
69,C0000765,0,0,1
69,C0560765,0,0,1
69,C0281856,0,0,1
69,C0030193,1,0,0
69,C0234238,1,0,0
69,C0423572,1,0,0
69,C0178417,0,0,1
69,C0005911,0,0,1
69,C0234019,0,0,1
69,C0424528,0,0,1
69,C0578026,0,0,1
69,C0015967,0,0,1
69,C0268000,0,0,1
70,C0000765,0,0,1
70,C0000765,0,0,1
70,C0002170,0,1,0
70,C0043094,1,0,0
70,C0043094,1,0,0
70,C0015672,1,0,0
70,C0023380,1,0,0
70,C1262477,0,1,0
70,C0242979,0,0,1
70,C0242979,0,0,1
72,C0497247,0,0,1
72,C1562291,0,0,1
74,C0015672,1,0,0
74,C0338656,0,0,1
74,C0424099,0,0,1
74,C0011124,0,0,1
74,C0001973,0,0,1
74,C0262630,0,0,1
74,C0242979,0,0,1
74,C0242979,0,0,1
74,C0040332,0,0,1
74,C0040332,0,0,1
75,C0560765,0,0,1
75,C0456820,0,0,1
75,C0234019,0,0,1
76,C0560765,0,0,1
76,C0314719,1,0,0
76,C0424528,0,0,1
76,C0578994,0,0,1
76,C0578994,0,0,1
76,C0149745,0,0,1
76,C0423564,0,0,1
77,C0497247,0,0,1
77,C0497247,0,0,1
77,C0456820,0,0,1
77,C0392171,0,0,1
77,C0234238,0,0,1
77,C0392171,0,0,1
77,C0392171,0,0,1
77,C0428895,0,0,1
77,C0005826,0,0,1
77,C0424528,0,0,1
77,C0277884,0,0,1
77,C0557455,0,0,1
77,C0234655,0,0,1
77,C0232534,0,0,1
77,C0439814,0,0,1
77,C0439814,0,0,1
78,C0231403,0,0,1
78,C0522365,0,0,1
78,C0560765,0,0,1
